cell with spacer,
Reference Time Domain Signal,
Optical delay (ps),Terahertz signal (a.u.)
56.292,0.01053279
56.392,0.01552649
56.492,0.008650096
56.592,-0.005789977
56.69201,-0.01370511
56.792,-0.01169203
56.89201,-0.002711027
56.992,0.0054089
57.09201,0.00210829
57.192,-0.009279207
57.292,-0.0196908
57.39201,-0.02900431
57.492,-0.04004701
57.59201,-0.05147975
57.692,-0.05819478
57.792,-0.06554286
57.892,-0.07783499
57.992,-0.08270217
58.092,-0.07623125
58.192,-0.07695385
58.292,-0.08944723
58.392,-0.0973324
58.492,-0.09878273
58.592,-0.1003889
58.692,-0.09445762
58.792,-0.07622202
58.892,-0.05167986
58.992,-0.0177982
59.092,0.037024
59.192,0.1091757
59.292,0.1884792
59.392,0.2617812
59.492,0.3075661
59.592,0.3131775
59.692,0.2789615
59.792,0.1949146
59.892,0.07622283
59.992,-0.02000907
60.092,-0.04144948
60.192,0.01635145
60.292,0.105897
60.392,0.1634249
60.492,0.1595666
60.592,0.1185212
60.69201,0.0927381
60.792,0.1105147
60.892,0.1409182
60.992,0.1400716
61.092,0.1163478
61.19201,0.1110765
61.292,0.1275944
61.39201,0.1274562
61.492,0.1105958
61.59201,0.1206539
61.692,0.1590575
61.792,0.1803658
61.892,0.1690501
61.992,0.1489521
62.09201,0.128654
62.192,0.1070527
62.292,0.09701275
62.392,0.09856735
62.492,0.09229997
62.592,0.07254224
62.692,0.053957
62.792,0.03236825
62.892,0.001579353
62.992,-0.02912255
63.092,-0.06123449
63.192,-0.09093449
63.292,-0.09446889
63.392,-0.05311898
