water room temp,
Sample Time Domain Signal,
Optical delay (ps),Terahertz signal (a.u.)
44.192,-0.004114651
44.292,-0.003936682
44.392,-0.004074139
44.492,-0.003834646
44.592,-0.002991509
44.692,-0.001219757
44.792,0.001266807
44.892,0.002694047
44.992,0.001425672
45.092,-0.002236634
45.192,-0.006233909
45.292,-0.007969178
45.392,-0.005821845
45.492,-0.001689918
45.592,0.002719737
45.692,0.004824426
45.792,0.005202728
45.892,0.005274481
45.992,0.006383494
46.092,0.00831352
46.192,0.00960019
46.292,0.009963482
46.392,0.009592158
46.492,0.009109536
46.592,0.009137253
46.692,0.008515582
46.792,0.00714468
46.892,0.004859662
46.992,0.003411091
47.092,0.003229211
47.192,0.004089218
47.292,0.004883261
47.392,0.005147425
47.492,0.004729268
47.592,0.004079809
47.692,0.004617765
47.792,0.005175049
47.892,0.006625669
47.992,0.007852317
48.092,0.009190084
48.192,0.0109292
48.292,0.01324958
48.392,0.01604741
48.492,0.01689987
48.592,0.01682279
48.692,0.01534095
48.792,0.01466811
48.892,0.01532228
48.992,0.01691258
49.092,0.01861454
49.192,0.01876589
49.292,0.01813485
49.392,0.01731605
49.492,0.01752314
49.592,0.01925066
49.692,0.02102159
49.792,0.02186791
49.892,0.02096678
49.992,0.01933372
50.092,0.01725923
50.192,0.01593923
50.292,0.01410269
50.392,0.01171959
50.492,0.009471176
50.592,0.008127618
50.692,0.007855962
50.792,0.007480819
50.892,0.006781464
50.992,0.005931947
51.092,0.00544047
51.192,0.006125879
51.292,0.006950615
51.392,0.006871591
51.492,0.004028316
51.592,-0.00116169
51.692,-0.007766613
51.792,-0.01493308
51.892,-0.02144243
51.992,-0.02866152
52.092,-0.03653456
52.192,-0.04500824
52.292,-0.05429848
52.392,-0.06366154
52.492,-0.07398275
52.592,-0.08593126
52.692,-0.09986968
52.792,-0.1152157
52.892,-0.1306442
52.992,-0.1454469
53.092,-0.1585371
53.192,-0.1697135
53.292,-0.1783625
53.392,-0.1817722
53.492,-0.1747628
53.592,-0.1519776
53.692,-0.1091737
53.792,-0.04613103
53.892,0.03194217
53.992,0.1133849
54.092,0.1803237
54.192,0.2176613
54.292,0.2182829
54.392,0.1878811
54.492,0.1434213
54.592,0.1045502
54.692,0.08464748
54.792,0.08236178
54.892,0.08955778
54.992,0.09405943
55.092,0.0915271
55.192,0.08490734
55.292,0.07853559
55.392,0.0751878
55.492,0.07321829
55.592,0.07128528
55.692,0.06895173
55.792,0.06767272
55.892,0.06677624
55.992,0.06497617
56.092,0.06265483
56.192,0.0611003
56.292,0.06001977
56.392,0.05884181
56.492,0.05712028
56.592,0.05596923
56.69201,0.05613554
56.792,0.05638691
56.89201,0.05572297
56.992,0.0533386
57.09201,0.04953432
57.192,0.04525784
57.292,0.04191562
57.39201,0.04000035
57.492,0.03931411
57.59201,0.03835374
57.692,0.03642477
57.792,0.03376128
57.892,0.03048081
57.992,0.02840848
58.092,0.02702656
58.192,0.02672116
58.292,0.02591095
58.392,0.02512496
58.492,0.0242058
58.592,0.02282549
58.692,0.02185049
58.792,0.01993867
58.892,0.01783083
58.992,0.01561326
59.092,0.01404073
59.192,0.01245525
59.292,0.01082793
59.392,0.009890601
59.492,0.008656925
59.592,0.007184424
59.692,0.005799502
59.792,0.004995333
59.892,0.005030069
59.992,0.005948467
60.092,0.006775223
60.192,0.008014558
60.292,0.009172807
60.392,0.01058248
60.492,0.01113061
60.592,0.01065843
60.69201,0.008613287
60.792,0.00535905
60.892,0.002982764
60.992,0.0009866623
61.092,0.0005866928
61.19201,-0.0001363857
61.292,-0.001692113
61.39201,-0.003715191
61.492,-0.00567886
61.59201,-0.006751777
61.692,-0.006548547
61.792,-0.005856717
61.892,-0.005197266
61.992,-0.005015981
62.09201,-0.004930247
62.192,-0.005030987
62.292,-0.005020526
62.392,-0.005543132
62.492,-0.006328945
62.592,-0.007955414
62.692,-0.009346796
62.792,-0.009974832
62.892,-0.01008691
62.992,-0.009235107
63.092,-0.008477296
63.192,-0.00792536
63.292,-0.007336334
63.392,-0.006744996
